country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,year,month,day,month_ab,month_name
Hong Kong,HKG,2021-05-30,2364029.0,1359357.0,1004671.0,35176.0,31054.0,31.3,18.0,13.3,4112.0,"Pfizer/BioNTech, Sinovac",Food and Health Bureau,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,2021,5,30,May,May
Bulgaria,BGR,2021-02-11,71123.0,51435.0,19688.0,4960.0,2443.0,1.03,0.75,0.29,354.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,2021,2,11,Feb,February
Liberia,LBR,2021-07-30,,,,,114.0,,,,22.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2021,7,30,Jul,July
Switzerland,CHE,2021-10-04,10563481.0,5587310.0,5137081.0,25088.0,23388.0,121.2,64.11,58.94,2683.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH,2021,10,4,Oct,October
Wales,OWID_WLS,2021-09-14,4573151.0,2364691.0,2208460.0,,2208.0,144.26,74.6,69.67,697.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,9,14,Sep,September
Bangladesh,BGD,2021-01-29,,,,,1209.0,,,,7.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php,2021,1,29,Jan,January
Norway,NOR,2021-08-05,5678070.0,3722026.0,1955200.0,84685.0,36656.0,103.89,68.1,35.77,6707.0,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data,2021,8,5,Aug,August
Yemen,YEM,2021-09-18,,,,,4091.0,,,,134.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/,2021,9,18,Sep,September
Italy,ITA,2021-01-17,1231480.0,1228490.0,3008.0,37634.0,78655.0,2.04,2.04,0.0,1303.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,2021,1,17,Jan,January
Australia,AUS,2021-04-10,1166568.0,1018671.0,147897.0,27702.0,46198.0,4.52,3.95,0.57,1791.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/,2021,4,10,Apr,April
United Kingdom,GBR,2021-10-27,102461683.0,49838202.0,45627499.0,355173.0,385994.0,150.22,73.07,66.9,5659.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,10,27,Oct,October
Saint Vincent and the Grenadines,VCT,2022-02-18,,,,,68.0,,,,611.0,Oxford/AstraZeneca,Ministry of Health,https://web.facebook.com/SVGHEALTH/posts/437021804887233,2022,2,18,Feb,February
Sao Tome and Principe,STP,2022-01-05,,,,,1275.0,,,,5708.0,Oxford/AstraZeneca,World Health Organization,https://africacdc.org/covid-19-vaccination/,2022,1,5,Jan,January
Israel,ISR,2022-01-01,16768973.0,6575377.0,5935000.0,6350.0,22761.0,180.49,70.77,63.88,2450.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,2022,1,1,Jan,January
Hungary,HUN,2021-01-08,,,,,6202.0,,,,644.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-402-ezer-beoltott-2906-az-uj-fertozott-es-elhunyt-40-beteg,2021,1,8,Jan,January
Somalia,SOM,2021-12-23,1453959.0,1164923.0,770720.0,,23601.0,8.89,7.12,4.71,1443.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,12,23,Dec,December
Taiwan,TWN,2022-01-20,39296381.0,18930412.0,17103848.0,470746.0,525358.0,164.73,79.36,71.7,22023.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og,2022,1,20,Jan,January
Kosovo,OWID_KOS,2021-10-06,1397224.0,817602.0,579622.0,8641.0,12045.0,78.4,45.88,32.52,6759.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://msh.rks-gov.net/sq/statistikat-covid-19/,2021,10,6,Oct,October
Sierra Leone,SLE,2022-02-15,,,,,29781.0,,,,3658.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,2,15,Feb,February
Iceland,ISL,2021-02-21,,,,,1044.0,,,,2831.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni,2021,2,21,Feb,February
Antigua and Barbuda,ATG,2021-05-15,,,,,322.0,,,,3261.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag,2021,5,15,May,May
Guernsey,GGY,2022-03-01,,,,,45.0,,,,710.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats,2022,3,1,Mar,March
Lesotho,LSO,2021-06-11,,,,,435.0,,,,201.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,6,11,Jun,June
Argentina,ARG,2022-01-26,87317607.0,40015495.0,35090594.0,341111.0,299091.0,191.46,87.74,76.94,6558.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://covidstats.com.ar/,2022,1,26,Jan,January
Iran,IRN,2022-03-19,145935239.0,63743044.0,56522644.0,,198203.0,171.63,74.97,66.47,2331.0,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",World Health Organization,https://irangov.ir/detail/383414,2022,3,19,Mar,March
Congo,COG,2021-12-14,,,,,4152.0,,,,734.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,12,14,Dec,December
China,CHN,2022-03-11,3185239000.0,,,5179000.0,4688571.0,220.55,,,3246.0,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202203/d81d339daf694f97952f10d9d8604143.shtml,2022,3,11,Mar,March
Wallis and Futuna,WLF,2021-08-24,,,,,20.0,,,,1803.0,Moderna,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,8,24,Aug,August
Chad,TCD,2021-12-06,,,,,1980.0,,,,117.0,Sinopharm/Beijing,Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,12,6,Dec,December
Gambia,GMB,2021-12-05,,,,,269.0,,,,108.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,12,5,Dec,December
Lithuania,LTU,2021-02-05,125841.0,79269.0,46572.0,7388.0,4522.0,4.68,2.95,1.73,1681.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/,2021,2,5,Feb,February
Sudan,SDN,2021-07-18,810560.0,627833.0,182727.0,,6979.0,1.8,1.4,0.41,155.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,7,18,Jul,July
Brazil,BRA,2021-07-28,137944954.0,102535345.0,39603390.0,1786585.0,1392224.0,64.46,47.92,18.51,6506.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io,2021,7,28,Jul,July
Nepal,NPL,2021-10-20,,,,,33180.0,,,,1118.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.mohp.gov.np/situation-report,2021,10,20,Oct,October
Malawi,MWI,2021-03-26,90107.0,90107.0,,,10683.0,0.46,0.46,,544.0,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,2021,3,26,Mar,March
United Kingdom,GBR,2022-03-19,140680847.0,52740240.0,49303269.0,49834.0,39455.0,206.26,77.32,72.28,578.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022,3,19,Mar,March
Japan,JPN,2021-12-16,198497730.0,100125316.0,98222530.0,77759.0,69051.0,157.47,79.43,77.92,548.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html,2021,12,16,Dec,December
Romania,ROU,2021-09-03,9800229.0,5266224.0,5159282.0,10832.0,9968.0,51.24,27.53,26.97,521.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/,2021,9,3,Sep,September
Botswana,BWA,2022-02-03,,,,,2733.0,,,,1140.0,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2022,2,3,Feb,February
Sudan,SDN,2021-12-31,,,,,8915.0,,,,199.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,12,31,Dec,December
Pakistan,PAK,2021-12-21,144064235.0,89792114.0,62547553.0,1350530.0,1162968.0,63.97,39.87,27.77,5164.0,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php,2021,12,21,Dec,December
Malta,MLT,2021-02-27,77967.0,51186.0,26781.0,1808.0,2094.0,15.11,9.92,5.19,4057.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases,2021,2,27,Feb,February
San Marino,SMR,2021-03-10,3668.0,3668.0,,603.0,398.0,10.79,10.79,,11702.0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/,2021,3,10,Mar,March
Aruba,ABW,2021-05-16,,,,,1235.0,,,,11521.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw,2021,5,16,May,May
Bulgaria,BGR,2021-10-14,2615154.0,,1377516.0,8058.0,5314.0,37.92,,19.97,771.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,2021,10,14,Oct,October
Bhutan,BTN,2021-06-11,,,,,87.0,,,,112.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,6,11,Jun,June
India,IND,2021-10-22,1009945663.0,712404590.0,297541073.0,6741374.0,5540317.0,72.48,51.13,21.35,3976.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/,2021,10,22,Oct,October
Saint Vincent and the Grenadines,VCT,2021-05-30,,,,,269.0,,,,2418.0,Oxford/AstraZeneca,Ministry of Health,https://web.facebook.com/SVGHEALTH/posts/437021804887233,2021,5,30,May,May
Belize,BLZ,2021-03-06,,,,,186.0,,,,459.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,3,6,Mar,March
Armenia,ARM,2022-02-05,,,,,6345.0,,,,2138.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022,2,5,Feb,February
Lebanon,LBN,2021-02-13,0.0,,,,,0.0,,,,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine,2021,2,13,Feb,February
Dominican Republic,DOM,2021-02-23,,,,,3139.0,,,,287.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/,2021,2,23,Feb,February
Guernsey,GGY,2021-09-12,,,,,117.0,,,,1846.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats,2021,9,12,Sep,September
Bermuda,BMU,2021-02-03,,,,,463.0,,,,7457.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,2,3,Feb,February
Fiji,FJI,2021-04-28,,,,,1762.0,,,,1951.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,4,28,Apr,April
India,IND,2021-07-20,415472455.0,328716212.0,86756243.0,3626054.0,3967789.0,29.82,23.59,6.23,2848.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/,2021,7,20,Jul,July
Norway,NOR,2022-01-23,10810093.0,4310755.0,3979105.0,1656.0,39682.0,197.78,78.87,72.8,7260.0,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data,2022,1,23,Jan,January
Switzerland,CHE,2021-03-22,1299811.0,802230.0,483121.0,24895.0,21984.0,14.91,9.2,5.54,2522.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH,2021,3,22,Mar,March
Northern Ireland,OWID_NIR,2022-02-01,3672192.0,1415435.0,1313301.0,2182.0,2436.0,193.68,74.65,69.27,1285.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022,2,1,Feb,February
Sri Lanka,LKA,2021-08-25,18099085.0,12149634.0,5949451.0,162097.0,168437.0,84.19,56.52,27.68,7835.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_vaccination/covid_vaccination_2022-03_22.pdf,2021,8,25,Aug,August
Qatar,QAT,2021-06-19,2876509.0,1616899.0,1259610.0,8347.0,13656.0,98.16,55.17,42.98,4660.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,2021,6,19,Jun,June
Belarus,BLR,2021-06-06,924926.0,610988.0,313938.0,,18299.0,9.79,6.47,3.32,1938.0,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,6,6,Jun,June
United Kingdom,GBR,2021-07-03,78889449.0,45274497.0,33614952.0,333598.0,302066.0,115.66,66.38,49.28,4429.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,7,3,Jul,July
Ecuador,ECU,2021-04-19,951497.0,770219.0,181278.0,41271.0,36224.0,5.32,4.31,1.01,2025.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid,2021,4,19,Apr,April
Dominican Republic,DOM,2021-07-14,9066151.0,5294786.0,3629728.0,67643.0,70459.0,82.77,48.34,33.14,6432.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/,2021,7,14,Jul,July
Montenegro,MNE,2021-12-09,540909.0,278846.0,262063.0,1110.0,1141.0,86.13,44.4,41.73,1817.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/,2021,12,9,Dec,December
Czechia,CZE,2021-01-04,17982.0,17980.0,2.0,3611.0,2056.0,0.17,0.17,0.0,192.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19,2021,1,4,Jan,January
Argentina,ARG,2021-05-26,11942138.0,9290432.0,2651609.0,152963.0,115708.0,26.19,20.37,5.81,2537.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://covidstats.com.ar/,2021,5,26,May,May
Suriname,SUR,2022-02-28,,,,,172.0,,,,291.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Government of Suriname,https://laatjevaccineren.sr/,2022,2,28,Feb,February
England,OWID_ENG,2021-04-07,31812141.0,26879123.0,4933018.0,431203.0,262688.0,56.25,47.53,8.72,4645.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,4,7,Apr,April
Morocco,MAR,2022-03-21,,,,,15490.0,,,,415.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2022,3,21,Mar,March
China,CHN,2021-03-04,,,,,779248.0,,,,540.0,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202203/d81d339daf694f97952f10d9d8604143.shtml,2021,3,4,Mar,March
Estonia,EST,2021-06-23,913973.0,548194.0,409397.0,126.0,7582.0,68.97,41.37,30.89,5721.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee,2021,6,23,Jun,June
Chile,CHL,2021-08-07,26307715.0,14064564.0,12752513.0,1171.0,58712.0,136.93,73.21,66.38,3056.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19,2021,8,7,Aug,August
Ireland,IRL,2021-01-29,194213.0,155792.0,38423.0,13092.0,6831.0,3.9,3.13,0.77,1371.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/,2021,1,29,Jan,January
United Kingdom,GBR,2021-10-21,100447478.0,49603139.0,45486950.0,687752.0,340341.0,147.27,72.72,66.69,4990.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,10,21,Oct,October
Trinidad and Tobago,TTO,2022-01-17,1454725.0,727519.0,679532.0,195.0,2428.0,103.66,51.84,48.42,1730.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,2022,1,17,Jan,January
